seed	experiment	feature_set	domain	class	precision	recall	f1	support
46	multiclass_domain	all	arxiv_papers	gemma2_9b	0.9424083769633508	0.9574468085106383	0.9498680738786279	188.0
46	multiclass_domain	all	arxiv_papers	gpt-4o-mini	0.9518716577540107	0.9468085106382979	0.9493333333333334	188.0
46	multiclass_domain	all	arxiv_papers	human	1.0	0.9893617021276596	0.9946524064171123	188.0
47	multiclass_domain	all	arxiv_papers	gemma2_9b	0.9675675675675676	0.9521276595744681	0.9597855227882037	188.0
47	multiclass_domain	all	arxiv_papers	gpt-4o-mini	0.953125	0.973404255319149	0.9631578947368421	188.0
47	multiclass_domain	all	arxiv_papers	human	1.0	0.9946808510638298	0.9973333333333333	188.0
48	multiclass_domain	all	arxiv_papers	gemma2_9b	0.9894179894179894	0.9946808510638298	0.9920424403183024	188.0
48	multiclass_domain	all	arxiv_papers	gpt-4o-mini	0.9893617021276596	0.9893617021276596	0.9893617021276596	188.0
48	multiclass_domain	all	arxiv_papers	human	1.0	0.9946808510638298	0.9973333333333333	188.0
49	multiclass_domain	all	arxiv_papers	gemma2_9b	0.9725274725274725	0.9414893617021277	0.9567567567567568	188.0
49	multiclass_domain	all	arxiv_papers	gpt-4o-mini	0.9435897435897436	0.9787234042553191	0.9608355091383812	188.0
49	multiclass_domain	all	arxiv_papers	human	1.0	0.9946808510638298	0.9973333333333333	188.0
50	multiclass_domain	all	arxiv_papers	gemma2_9b	0.9627659574468085	0.9627659574468085	0.9627659574468085	188.0
50	multiclass_domain	all	arxiv_papers	gpt-4o-mini	0.9680851063829787	0.9680851063829787	0.9680851063829787	188.0
50	multiclass_domain	all	arxiv_papers	human	0.9946808510638298	0.9946808510638298	0.9946808510638298	188.0
51	multiclass_domain	all	arxiv_papers	gemma2_9b	0.9424083769633508	0.9574468085106383	0.9498680738786279	188.0
51	multiclass_domain	all	arxiv_papers	gpt-4o-mini	0.9518716577540107	0.9468085106382979	0.9493333333333334	188.0
51	multiclass_domain	all	arxiv_papers	human	1.0	0.9893617021276596	0.9946524064171123	188.0
52	multiclass_domain	all	arxiv_papers	gemma2_9b	0.972972972972973	0.9574468085106383	0.9651474530831099	188.0
52	multiclass_domain	all	arxiv_papers	gpt-4o-mini	0.9581151832460733	0.973404255319149	0.9656992084432717	188.0
52	multiclass_domain	all	arxiv_papers	human	1.0	1.0	1.0	188.0
53	multiclass_domain	all	arxiv_papers	gemma2_9b	0.9421052631578948	0.9521276595744681	0.9470899470899471	188.0
53	multiclass_domain	all	arxiv_papers	gpt-4o-mini	0.9516129032258065	0.9414893617021277	0.946524064171123	188.0
53	multiclass_domain	all	arxiv_papers	human	0.9946808510638298	0.9946808510638298	0.9946808510638298	188.0
54	multiclass_domain	all	arxiv_papers	gemma2_9b	0.9679144385026738	0.9627659574468085	0.9653333333333334	188.0
54	multiclass_domain	all	arxiv_papers	gpt-4o-mini	0.9680851063829787	0.9680851063829787	0.9680851063829787	188.0
54	multiclass_domain	all	arxiv_papers	human	0.9947089947089947	1.0	0.9973474801061007	188.0
55	multiclass_domain	all	arxiv_papers	gemma2_9b	0.9732620320855615	0.9680851063829787	0.9706666666666667	188.0
55	multiclass_domain	all	arxiv_papers	gpt-4o-mini	0.9682539682539683	0.973404255319149	0.9708222811671088	188.0
55	multiclass_domain	all	arxiv_papers	human	1.0	1.0	1.0	188.0
56	multiclass_domain	all	arxiv_papers	gemma2_9b	0.9682539682539683	0.973404255319149	0.9708222811671088	188.0
56	multiclass_domain	all	arxiv_papers	gpt-4o-mini	0.9679144385026738	0.9627659574468085	0.9653333333333334	188.0
56	multiclass_domain	all	arxiv_papers	human	0.9946808510638298	0.9946808510638298	0.9946808510638298	188.0
57	multiclass_domain	all	arxiv_papers	gemma2_9b	0.9432989690721649	0.973404255319149	0.9581151832460733	188.0
57	multiclass_domain	all	arxiv_papers	gpt-4o-mini	0.9725274725274725	0.9414893617021277	0.9567567567567568	188.0
57	multiclass_domain	all	arxiv_papers	human	1.0	1.0	1.0	188.0
58	multiclass_domain	all	arxiv_papers	gemma2_9b	0.9682539682539683	0.973404255319149	0.9708222811671088	188.0
58	multiclass_domain	all	arxiv_papers	gpt-4o-mini	0.9680851063829787	0.9680851063829787	0.9680851063829787	188.0
58	multiclass_domain	all	arxiv_papers	human	1.0	0.9946808510638298	0.9973333333333333	188.0
59	multiclass_domain	all	arxiv_papers	gemma2_9b	0.9728260869565217	0.9521276595744681	0.9623655913978495	188.0
59	multiclass_domain	all	arxiv_papers	gpt-4o-mini	0.9533678756476683	0.9787234042553191	0.9658792650918635	188.0
59	multiclass_domain	all	arxiv_papers	human	0.9946524064171123	0.9893617021276596	0.992	188.0
60	multiclass_domain	all	arxiv_papers	gemma2_9b	0.972972972972973	0.9574468085106383	0.9651474530831099	188.0
60	multiclass_domain	all	arxiv_papers	gpt-4o-mini	0.9574468085106383	0.9574468085106383	0.9574468085106383	188.0
60	multiclass_domain	all	arxiv_papers	human	0.9842931937172775	1.0	0.9920844327176781	188.0
61	multiclass_domain	all	arxiv_papers	gemma2_9b	0.9292929292929293	0.9787234042553191	0.9533678756476683	188.0
61	multiclass_domain	all	arxiv_papers	gpt-4o-mini	0.9775280898876404	0.925531914893617	0.9508196721311475	188.0
61	multiclass_domain	all	arxiv_papers	human	0.9946808510638298	0.9946808510638298	0.9946808510638298	188.0
62	multiclass_domain	all	arxiv_papers	gemma2_9b	0.9489795918367347	0.9893617021276596	0.96875	188.0
62	multiclass_domain	all	arxiv_papers	gpt-4o-mini	0.9835164835164835	0.9521276595744681	0.9675675675675676	188.0
62	multiclass_domain	all	arxiv_papers	human	1.0	0.9893617021276596	0.9946524064171123	188.0
63	multiclass_domain	all	arxiv_papers	gemma2_9b	0.9574468085106383	0.9574468085106383	0.9574468085106383	188.0
63	multiclass_domain	all	arxiv_papers	gpt-4o-mini	0.9523809523809523	0.9574468085106383	0.9549071618037135	188.0
63	multiclass_domain	all	arxiv_papers	human	1.0	0.9946808510638298	0.9973333333333333	188.0
64	multiclass_domain	all	arxiv_papers	gemma2_9b	0.9682539682539683	0.973404255319149	0.9708222811671088	188.0
64	multiclass_domain	all	arxiv_papers	gpt-4o-mini	0.9732620320855615	0.9680851063829787	0.9706666666666667	188.0
64	multiclass_domain	all	arxiv_papers	human	0.9946808510638298	0.9946808510638298	0.9946808510638298	188.0
65	multiclass_domain	all	arxiv_papers	gemma2_9b	0.978021978021978	0.9468085106382979	0.9621621621621622	188.0
65	multiclass_domain	all	arxiv_papers	gpt-4o-mini	0.934010152284264	0.9787234042553191	0.9558441558441558	188.0
65	multiclass_domain	all	arxiv_papers	human	1.0	0.9840425531914894	0.9919571045576407	188.0
66	multiclass_domain	all	arxiv_papers	gemma2_9b	0.953125	0.973404255319149	0.9631578947368421	188.0
66	multiclass_domain	all	arxiv_papers	gpt-4o-mini	0.967391304347826	0.9468085106382979	0.956989247311828	188.0
66	multiclass_domain	all	arxiv_papers	human	0.9946808510638298	0.9946808510638298	0.9946808510638298	188.0
67	multiclass_domain	all	arxiv_papers	gemma2_9b	0.9836065573770492	0.9574468085106383	0.9703504043126685	188.0
67	multiclass_domain	all	arxiv_papers	gpt-4o-mini	0.9585492227979274	0.9840425531914894	0.9711286089238845	188.0
67	multiclass_domain	all	arxiv_papers	human	1.0	1.0	1.0	188.0
68	multiclass_domain	all	arxiv_papers	gemma2_9b	0.9679144385026738	0.9627659574468085	0.9653333333333334	188.0
68	multiclass_domain	all	arxiv_papers	gpt-4o-mini	0.9629629629629629	0.9680851063829787	0.9655172413793104	188.0
68	multiclass_domain	all	arxiv_papers	human	1.0	1.0	1.0	188.0
69	multiclass_domain	all	arxiv_papers	gemma2_9b	0.9468085106382979	0.9468085106382979	0.9468085106382979	188.0
69	multiclass_domain	all	arxiv_papers	gpt-4o-mini	0.9365079365079365	0.9414893617021277	0.9389920424403183	188.0
69	multiclass_domain	all	arxiv_papers	human	0.9946524064171123	0.9893617021276596	0.992	188.0
70	multiclass_domain	all	arxiv_papers	gemma2_9b	0.9680851063829787	0.9680851063829787	0.9680851063829787	188.0
70	multiclass_domain	all	arxiv_papers	gpt-4o-mini	0.9679144385026738	0.9627659574468085	0.9653333333333334	188.0
70	multiclass_domain	all	arxiv_papers	human	0.9947089947089947	1.0	0.9973474801061007	188.0
71	multiclass_domain	all	arxiv_papers	gemma2_9b	0.9776536312849162	0.9308510638297872	0.9536784741144414	188.0
71	multiclass_domain	all	arxiv_papers	gpt-4o-mini	0.934010152284264	0.9787234042553191	0.9558441558441558	188.0
71	multiclass_domain	all	arxiv_papers	human	1.0	1.0	1.0	188.0
72	multiclass_domain	all	arxiv_papers	gemma2_9b	0.9639175257731959	0.9946808510638298	0.9790575916230366	188.0
72	multiclass_domain	all	arxiv_papers	gpt-4o-mini	0.9945054945054945	0.9627659574468085	0.9783783783783784	188.0
72	multiclass_domain	all	arxiv_papers	human	1.0	1.0	1.0	188.0
73	multiclass_domain	all	arxiv_papers	gemma2_9b	0.9576719576719577	0.9627659574468085	0.9602122015915119	188.0
73	multiclass_domain	all	arxiv_papers	gpt-4o-mini	0.9627659574468085	0.9627659574468085	0.9627659574468085	188.0
73	multiclass_domain	all	arxiv_papers	human	0.9946524064171123	0.9893617021276596	0.992	188.0
74	multiclass_domain	all	arxiv_papers	gemma2_9b	0.972972972972973	0.9574468085106383	0.9651474530831099	188.0
74	multiclass_domain	all	arxiv_papers	gpt-4o-mini	0.9631578947368421	0.973404255319149	0.9682539682539683	188.0
74	multiclass_domain	all	arxiv_papers	human	0.9947089947089947	1.0	0.9973474801061007	188.0
75	multiclass_domain	all	arxiv_papers	gemma2_9b	0.9719101123595506	0.9202127659574468	0.9453551912568307	188.0
75	multiclass_domain	all	arxiv_papers	gpt-4o-mini	0.934010152284264	0.9787234042553191	0.9558441558441558	188.0
75	multiclass_domain	all	arxiv_papers	human	0.9894179894179894	0.9946808510638298	0.9920424403183024	188.0
76	multiclass_domain	all	arxiv_papers	gemma2_9b	0.973404255319149	0.973404255319149	0.973404255319149	188.0
76	multiclass_domain	all	arxiv_papers	gpt-4o-mini	0.973404255319149	0.973404255319149	0.973404255319149	188.0
76	multiclass_domain	all	arxiv_papers	human	1.0	1.0	1.0	188.0
77	multiclass_domain	all	arxiv_papers	gemma2_9b	0.9479166666666666	0.9680851063829787	0.9578947368421052	188.0
77	multiclass_domain	all	arxiv_papers	gpt-4o-mini	0.9672131147540983	0.9414893617021277	0.954177897574124	188.0
77	multiclass_domain	all	arxiv_papers	human	0.9894179894179894	0.9946808510638298	0.9920424403183024	188.0
78	multiclass_domain	all	arxiv_papers	gemma2_9b	0.9732620320855615	0.9680851063829787	0.9706666666666667	188.0
78	multiclass_domain	all	arxiv_papers	gpt-4o-mini	0.9631578947368421	0.973404255319149	0.9682539682539683	188.0
78	multiclass_domain	all	arxiv_papers	human	1.0	0.9946808510638298	0.9973333333333333	188.0
79	multiclass_domain	all	arxiv_papers	gemma2_9b	0.9725274725274725	0.9414893617021277	0.9567567567567568	188.0
79	multiclass_domain	all	arxiv_papers	gpt-4o-mini	0.9432989690721649	0.973404255319149	0.9581151832460733	188.0
79	multiclass_domain	all	arxiv_papers	human	1.0	1.0	1.0	188.0
80	multiclass_domain	all	arxiv_papers	gemma2_9b	0.9680851063829787	0.9680851063829787	0.9680851063829787	188.0
80	multiclass_domain	all	arxiv_papers	gpt-4o-mini	0.9680851063829787	0.9680851063829787	0.9680851063829787	188.0
80	multiclass_domain	all	arxiv_papers	human	1.0	1.0	1.0	188.0
81	multiclass_domain	all	arxiv_papers	gemma2_9b	0.96875	0.9893617021276596	0.9789473684210527	188.0
81	multiclass_domain	all	arxiv_papers	gpt-4o-mini	0.9837837837837838	0.9680851063829787	0.9758713136729222	188.0
81	multiclass_domain	all	arxiv_papers	human	1.0	0.9946808510638298	0.9973333333333333	188.0
82	multiclass_domain	all	arxiv_papers	gemma2_9b	0.9635416666666666	0.9840425531914894	0.9736842105263158	188.0
82	multiclass_domain	all	arxiv_papers	gpt-4o-mini	0.9836956521739131	0.9627659574468085	0.9731182795698925	188.0
82	multiclass_domain	all	arxiv_papers	human	1.0	1.0	1.0	188.0
83	multiclass_domain	all	arxiv_papers	gemma2_9b	0.9735449735449735	0.9787234042553191	0.9761273209549072	188.0
83	multiclass_domain	all	arxiv_papers	gpt-4o-mini	0.9786096256684492	0.973404255319149	0.976	188.0
83	multiclass_domain	all	arxiv_papers	human	1.0	1.0	1.0	188.0
