accuracy	precision_macro	recall_macro	f1_macro	f1_weighted	roc_auc	seed	experiment	feature_set	domain
0.4037698412698413	0.38788253254973387	0.4037698412698412	0.38084962899879266	0.38084962899879266		93	multiclass_domain	reading_time	house_of_commons
0.4037698412698413	0.3928852704888539	0.4037698412698412	0.37871053977601155	0.37871053977601155		94	multiclass_domain	reading_time	house_of_commons
0.3948412698412698	0.3759920634920635	0.3948412698412698	0.36652988215488214	0.3665298821548822		95	multiclass_domain	reading_time	house_of_commons
0.4236111111111111	0.40468390268336923	0.4236111111111111	0.39440601941171133	0.3944060194117114		96	multiclass_domain	reading_time	house_of_commons
0.4365079365079365	0.425373371136083	0.43650793650793646	0.41381831791956875	0.4138183179195687		97	multiclass_domain	reading_time	house_of_commons
0.39880952380952384	0.3786459455717301	0.3988095238095239	0.37375235821811986	0.37375235821811986		98	multiclass_domain	reading_time	house_of_commons
0.376984126984127	0.34250708055656415	0.376984126984127	0.3421053241398225	0.34210532413982253		99	multiclass_domain	reading_time	house_of_commons
0.33875338753387535	0.2254070144465489	0.3387533875338753	0.26934641139683013	0.26934641139683013		0	multiclass_domain	reading_time	student_essays
0.3341076267905536	0.22251415031930014	0.3341076267905536	0.26634149513868566	0.26634149513868566		1	multiclass_domain	reading_time	student_essays
0.3530778164924506	0.2350821616599942	0.3530778164924506	0.2814740971101022	0.2814740971101022		2	multiclass_domain	reading_time	student_essays
0.3507549361207898	0.23382642453680705	0.3507549361207898	0.27907265176528034	0.27907265176528034		3	multiclass_domain	reading_time	student_essays
0.3464963221060782	0.2309150832886612	0.3464963221060782	0.27623035525771084	0.2762303552577109		4	multiclass_domain	reading_time	student_essays
0.34843205574912894	0.23286597019274446	0.34843205574912894	0.2777657699344575	0.27776576993445745		5	multiclass_domain	reading_time	student_essays
0.3426248548199768	0.2280425952970946	0.3426248548199768	0.2726934325053219	0.27269343250532196		6	multiclass_domain	reading_time	student_essays
0.34804490902051877	0.2881279608367615	0.3480449090205188	0.2781615401458857	0.2781615401458856		7	multiclass_domain	reading_time	student_essays
0.34533488192024775	0.2307781649245064	0.34533488192024775	0.27584204413472707	0.27584204413472707		8	multiclass_domain	reading_time	student_essays
0.34494773519163763	0.22982512649139053	0.34494773519163763	0.27471057824410156	0.27471057824410156		9	multiclass_domain	reading_time	student_essays
0.34881920247773907	0.2324849887539744	0.34881920247773907	0.27809778873608665	0.2780977887360866		10	multiclass_domain	reading_time	student_essays
0.3430120015485869	0.22801383339129674	0.3430120015485869	0.27301518438177874	0.27301518438177874		11	multiclass_domain	reading_time	student_essays
0.3422377080913666	0.22807040133683568	0.3422377080913666	0.27225606660574675	0.27225606660574675		12	multiclass_domain	reading_time	student_essays
0.3410762679055362	0.22770149987945443	0.3410762679055362	0.27208291303298565	0.2720829130329857		13	multiclass_domain	reading_time	student_essays
0.35036778939217966	0.23360713196947538	0.35036778939217966	0.27900600357542665	0.27900600357542665		14	multiclass_domain	reading_time	student_essays
0.33952768099109565	0.2257291966437871	0.33952768099109565	0.2698102312491782	0.2698102312491782		15	multiclass_domain	reading_time	student_essays
0.3344947735191638	0.22313740134146723	0.33449477351916374	0.2665697403768368	0.26656974037683684		16	multiclass_domain	reading_time	student_essays
0.35501355013550134	0.23753019902053732	0.35501355013550134	0.2838684410945194	0.2838684410945195		17	multiclass_domain	reading_time	student_essays
