experiment	feature_set	domain	class	precision_mean	precision_std	recall_mean	recall_std	f1_mean	f1_std
binary_domain	all	euro_court_cases	human	0.9959366033482255	0.0033268515489098174	0.9972946859903382	0.0027525485853277854	0.9966095025068262	0.0019059546500440905
binary_domain	all	euro_court_cases	llm	0.9973005116665071	0.0027365225358903862	0.9959178743961352	0.0033584716204245906	0.9966029969618814	0.0019125232508913946
binary_domain	all	house_of_commons	human	0.9849573936153554	0.004754237799258308	0.9855155482815057	0.004758160123231492	0.985225309311807	0.003409936432531385
binary_domain	all	house_of_commons	llm	0.9855285504370417	0.00468176904049783	0.9849263502454991	0.004836668212356908	0.9852162281084599	0.0034083586510507795
binary_domain	all	student_essays	human	0.9950673539840916	0.001426292758993962	0.9948511166253101	0.0013676979701734626	0.99495814177533	0.0009304968125041916
binary_domain	all	student_essays	llm	0.9948542794921855	0.0013586950153127355	0.9950661703887511	0.0014341435698372194	0.9949591337899669	0.0009309586882897498
binary_domain	information_theoretic	arxiv_papers	human	0.9960709702427296	0.0044255168308252255	0.9926595744680852	0.005746829600288423	0.9943487042947572	0.00356310691309808
binary_domain	information_theoretic	arxiv_papers	llm	0.992717660984977	0.005673267521798423	0.9960638297872341	0.004448392327745902	0.9943744523818822	0.0035408318422235937
binary_domain	information_theoretic	blog_authorship_corpus	human	0.5554759589406959	0.014547455456390827	0.3613296903460838	0.016466171702487733	0.4377335578846148	0.015668983006778752
binary_domain	information_theoretic	blog_authorship_corpus	llm	0.5268161588516882	0.0073087833212569535	0.7109471766848816	0.012187904467839794	0.6051490045541872	0.007995333135677933
binary_domain	information_theoretic	cnn_news	human	0.7753672246840553	0.010250346173355128	0.7846546064553541	0.011756095076264997	0.7799173252585956	0.008359878458802114
binary_domain	information_theoretic	cnn_news	llm	0.782110006200636	0.009475223928096044	0.7725517753777014	0.013408053884774196	0.7772318296117642	0.009043524431046156
binary_domain	information_theoretic	euro_court_cases	human	0.7489108237013403	0.018418279355248666	0.6814492753623189	0.023303403909855632	0.7133242912358494	0.016417736106277423
binary_domain	information_theoretic	euro_court_cases	llm	0.7078910732499277	0.015124294463110548	0.7711111111111112	0.02235558985652201	0.7379610205796652	0.014423654868393747
binary_domain	information_theoretic	house_of_commons	human	0.7636656932869539	0.012849166441350071	0.7883306055646482	0.01517965229351209	0.7756770394177379	0.00995519003374577
binary_domain	information_theoretic	house_of_commons	llm	0.7813556816929697	0.011830699764062548	0.7557446808510639	0.017999696058220372	0.7681966290137738	0.011338286679332897
binary_domain	information_theoretic	student_essays	human	0.8392859162748364	0.0059968980428245855	0.887741935483871	0.006219833444317658	0.8628148656757051	0.004528538011728985
binary_domain	information_theoretic	student_essays	llm	0.8808901585442256	0.005855104247840977	0.8299586435070306	0.007553080444690339	0.8546422283954559	0.005104466653391358
binary_domain	readability	arxiv_papers	human	0.9688919417883155	0.012691891982753282	0.9685106382978723	0.01328292734231094	0.9686099625008824	0.008955613221510377
binary_domain	readability	arxiv_papers	llm	0.968694009092696	0.012771090808615753	0.9687234042553192	0.01320957143440145	0.9686176046693425	0.008967793049973645
binary_domain	readability	blog_authorship_corpus	human	0.6303938900634712	0.010494020846893022	0.6526411657559198	0.014566198199186572	0.6412126108495765	0.009277647850103413
binary_domain	readability	blog_authorship_corpus	llm	0.6398874465868052	0.009506540028794079	0.617103825136612	0.01837119960222176	0.6281640234689618	0.011852930185003522
binary_domain	readability	cnn_news	human	0.8079400842499763	0.009005975832933564	0.8428455057246309	0.010557114483013585	0.8249786169860037	0.007582836810364439
binary_domain	readability	cnn_news	llm	0.8358265352232145	0.009503528353335159	0.799563067587578	0.01135732122782485	0.8172388778570051	0.008151367512636768
binary_domain	readability	euro_court_cases	human	0.9598274680857058	0.008957070536937277	0.9758695652173912	0.008796558004807917	0.9677369463044271	0.005934789381723428
binary_domain	readability	euro_court_cases	llm	0.9755443775729118	0.008630527881072065	0.9590579710144929	0.009615213479299976	0.9671823612312346	0.00606631778114973
