experiment	feature_set	domain	accuracy_mean	accuracy_std	precision_macro_mean	precision_macro_std	recall_macro_mean	recall_macro_std	f1_macro_mean	f1_macro_std	f1_weighted_mean	f1_weighted_std	roc_auc_mean	roc_auc_std
multiclass_domain	all	student_essays	0.9454858691444058	0.003843875681045659	0.9455735890559318	0.0038321847859445583	0.9454858691444058	0.0038438756810456514	0.9454483427519359	0.003856487067407039	0.9454483427519359	0.0038564870674070413		
multiclass_domain	information_theoretic	arxiv_papers	0.8366666666666667	0.017020082581040437	0.8404717229920468	0.017609252646512103	0.8366666666666667	0.017020082581040433	0.8355699890097328	0.017151871176627254	0.8355699890097328	0.017151871176627236		
multiclass_domain	information_theoretic	blog_authorship_corpus	0.5307761966364812	0.014398903662959431	0.5239136703365539	0.021180851612968364	0.5307944982354538	0.014405224670758304	0.4994390794735342	0.015177443781109204	0.4994316434047728	0.015178867290547892		
multiclass_domain	information_theoretic	cnn_news	0.5891139896373057	0.007900061805251372	0.5751551563809373	0.02026870650583329	0.5890859277648446	0.007903291287235917	0.5056722221506432	0.00890067085288922	0.5056932729908378	0.008909402506433869		
multiclass_domain	information_theoretic	euro_court_cases	0.5891284403669725	0.01524921830612218	0.5848522918675717	0.019292842669349646	0.5891284403669724	0.015249218306122189	0.5676674139630304	0.017209723932681498	0.5676674139630304	0.017209723932681487		
multiclass_domain	information_theoretic	house_of_commons	0.655327380952381	0.011842180084381409	0.6801856823865665	0.016114977585822265	0.655327380952381	0.011842180084381402	0.6250444247518596	0.012871741078654053	0.6250444247518596	0.012871741078654053		
multiclass_domain	information_theoretic	student_essays	0.6913279132791328	0.008036998208342052	0.6863670846429243	0.008322871803408688	0.6913279132791328	0.008036998208342052	0.6875303854612271	0.008169848214772185	0.6875303854612271	0.008169848214772197		
multiclass_domain	readability	arxiv_papers	0.7462588652482269	0.01617367295316484	0.750772139703402	0.019263191980167495	0.7462588652482269	0.016173672953164832	0.734130855417589	0.01763071105403326	0.734130855417589	0.017630711054033264		
multiclass_domain	readability	blog_authorship_corpus	0.4498835705045278	0.018589476090454537	0.4503179699646998	0.020265829865813045	0.4498762806784706	0.01860878011213248	0.43849476381886077	0.02153001739640868	0.43849862547804397	0.02151956992519283		
multiclass_domain	readability	cnn_news	0.6887150259067357	0.008277578516561357	0.6868558251460333	0.008744763838337954	0.6887148910548059	0.00828138988436696	0.6820479363667128	0.008546889447243845	0.6820477528682735	0.008544042750950546		
multiclass_domain	readability	euro_court_cases	0.7957186544342508	0.012425878778229128	0.8001070096986741	0.014242075735032134	0.7957186544342508	0.012425878778229113	0.7842327074053739	0.013809726863814889	0.7842327074053739	0.013809726863814901		
